46668,5906,36119,1307
46161,6023,36477,1339
45679,6110,36839,1372
45186,6204,37202,1408
44650,6360,37548,1442
44111,6525,37886,1478
43568,6727,38193,1512
43043,6930,38480,1547
42502,7120,38793,1585
41950,7360,39069,1621
41388,7628,39324,1660
40830,7924,39549,1697
40205,8219,39842,1734
39614,8496,40116,1774
39006,8687,40495,1812
38438,8810,40899,1853
37827,8934,41347,1892
37227,9042,41800,1931
36589,9181,42256,1974
36009,9211,42766,2014
35385,9345,43212,2058
34808,9415,43678,2099
34188,9544,44128,2140
33572,9642,44601,2185
32947,9703,45123,2227
32357,9709,45661,2273
31774,9723,46187,2316
31221,9699,46720,2360
30685,9668,47240,2407
30147,9627,47775,2451
29860,9328,48313,2499
29580,9010,48866,2544
29323,8670,49417,2590
29058,8311,49991,2640
28804,7948,50561,2687
28589,7533,51140,2738
28368,7139,51708,2785
28159,6712,52297,2832
27941,6343,52831,2885
27747,5905,53414,2934
27573,5452,53992,2983
27407,5030,54529,3034
27261,4579,55074,3086
27102,4133,55627,3138
26964,3694,56152,3190
26835,3316,56606,3243
26712,3010,56982,3296
26590,2696,57364,3350
26487,2413,57696,3404
26380,2180,57981,3459
26279,2002,58205,3514
26182,1874,58374,3570
26090,1713,58571,3626
25989,1572,58753,3686
25900,1439,58920,3741
25813,1317,59073,3797
25731,1194,59220,3855
25648,1073,59366,3913
25567,969,59492,3972
25485,890,59594,4031
25411,803,59695,4091
25340,723,59792,4145
25272,645,59881,4202
25196,586,59955,4263
25122,539,60012,4327
25046,494,60073,4387
24967,453,60128,4452
24899,415,60173,4513
24830,370,60226,4574
24759,333,60267,4641
24691,304,60302,4703
24616,280,60334,4770
24550,253,60366,4831
24482,228,60394,4896
24412,200,60426,4962
24351,180,60448,5021
24284,168,60464,5084
24213,149,60487,5151
24141,132,60508,5219
24071,119,60523,5287
23998,112,60534,5356
23930,97,60549,5424
23858,89,60560,5493
23794,79,60571,5556
23729,64,60586,5621
23658,57,60593,5692
23581,53,60599,5767
23511,47,60605,5837
23436,43,60609,5912
23366,36,60616,5982
23295,35,60617,6053
23217,31,60622,6130
23145,30,60623,6202
23067,24,60629,6280
22994,20,60633,6353
22921,15,60638,6426
22846,12,60641,6501
22770,7,60646,6577
22694,5,60648,6653
22617,5,60648,6730
22540,4,60649,6807
22458,4,60649,6889
22382,4,60649,6965
22304,4,60650,7042
22225,3,60651,7121
22145,2,60652,7201
22060,2,60652,7286
